id,title,description,min_level,section,image,section_image
1,What Observability Actually Means,Why 'can I see what's happening' is a different question from 'does it work'.,1,Foundations,unit1.png,
2,"The Signals: Traces, Metrics, Logs, and Profiles",The four kinds of telemetry data and what each one is best at.,1,Foundations,unit2.png,
3,Why OpenTelemetry Exists,The vendor lock-in problem it was built to solve.,1,Foundations,unit3.png,
4,Vendor-Neutral vs. Proprietary Agents,Why instrumenting once and switching backends freely matters in practice.,1,Foundations,unit4.png,
5,The API vs. SDK Separation,"Why your code depends on a stable API, not the implementation.",1,SDK & Instrumentation,unit5.png,
6,Instrumentation Libraries vs. Manual Instrumentation,"Two ways telemetry gets into your code, and when to use each.",1,SDK & Instrumentation,unit6.png,
7,"Auto-Instrumentation, Briefly",Zero-code instrumentation that hooks into your runtime automatically.,1,SDK & Instrumentation,unit7.png,
8,What a Trace Actually Is,The full journey of one request across every service it touches.,1,Traces,unit8.png,
9,What a Span Represents,"One unit of work inside a trace, with a start and an end.",1,Traces,unit9.png,
10,Span Attributes and Events,How a span carries extra structured detail beyond just timing.,1,Traces,unit10.png,
11,Span Kind,"Client, server, internal, producer, consumer — what role a span played.",1,Traces,unit11.png,
12,Parent-Child Span Relationships,How spans nest to show what called what.,1,Traces,unit12.png,
13,Trace ID and Span ID,The identifiers that tie every span in a request back together.,1,Traces,unit13.png,
14,W3C Trace Context Propagation,The standard HTTP header that carries trace ID across services.,1,Context Propagation,unit14.png,
15,Baggage: Carrying Business Context,User-defined key-value data that travels alongside the trace.,1,Context Propagation,unit15.png,
16,Context Propagation Across Service Boundaries,"How trace context actually crosses a network call, step by step.",1,Context Propagation,unit16.png,
17,"Metrics: Counters, Gauges, and Histograms",The three core instrument shapes and what each one measures.,1,Metrics & Logs,unit17.png,
18,Metric Aggregation Temporality,Whether a reported value resets each interval or keeps accumulating.,1,Metrics & Logs,unit18.png,
19,Structured Logs in OpenTelemetry,How OTel logs differ from a plain unstructured text line.,1,Metrics & Logs,unit19.png,
20,"Correlating Logs, Traces, and Metrics",Jumping from a slow trace straight to its matching logs.,1,Metrics & Logs,unit20.png,
21,Resource Attributes,"Metadata describing the entity producing telemetry, not one request.",1,Metrics & Logs,unit21.png,
22,Semantic Conventions,The standard attribute names that make telemetry consistent across teams.,1,Metrics & Logs,unit22.png,
23,The OpenTelemetry Protocol (OTLP),The wire format used to actually transmit telemetry data.,1,The Collector,unit23.png,
24,Exporters: Where Telemetry Goes,The component that ships processed data out to a backend.,1,The Collector,unit24.png,
25,"The OpenTelemetry Collector, Briefly",An optional but recommended proxy that sits between your app and backends.,1,The Collector,unit25.png,
26,"Collector Pipelines: Receivers, Processors, Exporters",The three-stage pipeline every piece of data flows through.,1,The Collector,unit26.png,
27,Common Collector Processors,"The batch, memory_limiter, and filter processors you'll actually use.",1,The Collector,unit27.png,
28,Sampling: Why You Can't Keep Everything,Recording every single trace doesn't scale — sampling picks a fraction.,1,Sampling & Scale,unit28.png,
29,Head-Based vs. Tail-Based Sampling,"Deciding to keep a trace before it finishes, or after seeing the whole thing.",1,Sampling & Scale,unit29.png,
30,Deploying the Collector: Agent vs. Gateway Pattern,Running a Collector per host versus one central Collector fleet.,1,The Collector,unit30.png,
31,"SDK Configuration: Samplers, Exporters, Resource Detectors",The pieces you wire together when setting up the SDK.,1,SDK & Instrumentation,unit31.png,
32,Instrumenting an HTTP Service,Wrapping request handling in a span with the right attributes.,1,SDK & Instrumentation,unit32.png,
33,Instrumenting Database Calls,Recording query spans without leaking sensitive data into attributes.,1,SDK & Instrumentation,unit33.png,
34,Propagating Context Across Async/Queue Boundaries,Trace context doesn't travel automatically through a message queue.,1,Context Propagation,unit34.png,
35,Continuous Profiling as a Fourth Signal,"Sampling where CPU time actually goes, correlated with traces.",1,Sampling & Scale,unit35.png,
36,Choosing a Backend,"Prometheus, Jaeger, and vendor platforms — same OTLP data, different destinations.",1,Putting It Together,unit36.png,
37,Common Pitfalls,Over-instrumentation and cardinality explosions — the two classic mistakes.,1,Putting It Together,unit37.png,
38,OpenTelemetry on Kubernetes,The Operator that auto-instruments workloads running in a cluster.,1,Putting It Together,unit38.png,
